"aclass","meanval","frommodel","var"
1,0.389029535864979,1,"nTrans"
2,0.365302642796249,1,"nTrans"
1,0.389194435457781,2,"nTrans"
2,0.354461538461538,2,"nTrans"
1,0.393478260869565,3,"nTrans"
2,0.361754966887417,3,"nTrans"
1,0.418390804597701,4,"nTrans"
2,0.367914716588664,4,"nTrans"
1,0.39843472073995,5,"nTrans"
2,0.345931758530184,5,"nTrans"
1,0.410383189122373,6,"nTrans"
2,0.370360890708984,6,"nTrans"
1,0.392329204954055,7,"nTrans"
2,0.360144600090375,7,"nTrans"
1,0.40101707228478,8,"nTrans"
2,0.343861436576668,8,"nTrans"
1,0.390165111270639,9,"nTrans"
2,0.358549222797927,9,"nTrans"
1,0.450222882615156,10,"nTrans"
2,0.365075439030423,10,"nTrans"
1,0.450222882615156,11,"nTrans"
2,0.365075439030423,11,"nTrans"
1,0.39765784114053,12,"nTrans"
2,0.362645348837209,12,"nTrans"
1,0.405872888173773,13,"nTrans"
2,0.345291479820628,13,"nTrans"
1,0.442196531791907,14,"nTrans"
2,0.366053677932406,14,"nTrans"
1,0.394478063540091,15,"nTrans"
2,0.355212355212355,15,"nTrans"
1,0.413624220837044,16,"nTrans"
2,0.34412955465587,16,"nTrans"
1,0.386973180076628,17,"nTrans"
2,0.372380952380952,17,"nTrans"
1,0.447214076246334,18,"nTrans"
2,0.365394149727318,18,"nTrans"
1,0.384973791496797,19,"nTrans"
2,0.372790930310103,19,"nTrans"
1,0.396655231560892,20,"nTrans"
2,0.358221476510067,20,"nTrans"
1,0.450222882615156,21,"nTrans"
2,0.365075439030423,21,"nTrans"
1,0.448377581120944,22,"nTrans"
2,0.365279841505696,22,"nTrans"
1,0.404329004329004,23,"nTrans"
2,0.35120532003325,23,"nTrans"
1,0.449554896142433,24,"nTrans"
2,0.365165759524988,24,"nTrans"
1,0.379512635379061,25,"nTrans"
2,0.3752,25,"nTrans"
1,0.451851851851852,26,"nTrans"
2,0.364761197723336,26,"nTrans"
1,0.451564828614009,27,"nTrans"
2,0.364894932014833,27,"nTrans"
1,0.436879432624113,28,"nTrans"
2,0.366741460982299,28,"nTrans"
1,0.384357005758157,29,"nTrans"
2,0.371580547112462,29,"nTrans"
1,0.386872020535387,30,"nTrans"
2,0.364002011060835,30,"nTrans"
1,0.390041493775934,31,"nTrans"
2,0.360774818401937,31,"nTrans"
1,0.41164095371669,32,"nTrans"
2,0.362310030395137,32,"nTrans"
1,0.389939637826962,33,"nTrans"
2,0.363065889735545,33,"nTrans"
1,0.396217494089835,34,"nTrans"
2,0.361783929257978,34,"nTrans"
1,0.386641580432738,35,"nTrans"
2,0.36949806949807,35,"nTrans"
1,0.388453608247423,36,"nTrans"
2,0.36534264513313,36,"nTrans"
1,0.384364820846906,37,"nTrans"
2,0.373781829613329,37,"nTrans"
1,0.388888888888889,38,"nTrans"
2,0.364829396325459,38,"nTrans"
1,0.4432,39,"nTrans"
2,0.367147396724517,39,"nTrans"
1,0.385759829968119,40,"nTrans"
2,0.371559633027523,40,"nTrans"
1,0.390869042851422,41,"nTrans"
2,0.361874718341595,41,"nTrans"
1,0.393253012048193,42,"nTrans"
2,0.364634608102991,42,"nTrans"
1,0.395997140814868,43,"nTrans"
2,0.349843587069864,43,"nTrans"
1,0.400651465798046,44,"nTrans"
2,0.368979357798165,44,"nTrans"
1,0.38623326959847,45,"nTrans"
2,0.374659400544959,45,"nTrans"
1,0.450222882615156,46,"nTrans"
2,0.365075439030423,46,"nTrans"
1,0.420212765957447,47,"nTrans"
2,0.360588235294118,47,"nTrans"
1,0.392989690721649,48,"nTrans"
2,0.36054124836316,48,"nTrans"
1,0.400826446280992,49,"nTrans"
2,0.352351916376307,49,"nTrans"
1,0.386044176706827,50,"nTrans"
2,0.370778267254038,50,"nTrans"
1,0.425263157894737,51,"nTrans"
2,0.365108868826341,51,"nTrans"
1,0.406546990496304,52,"nTrans"
2,0.369859379145662,52,"nTrans"
1,0.395472061657033,53,"nTrans"
2,0.362878787878788,53,"nTrans"
1,0.390079760717846,54,"nTrans"
2,0.303977272727273,54,"nTrans"
1,0.375451263537906,55,"nTrans"
2,0.378192534381139,55,"nTrans"
1,0.388229927007299,56,"nTrans"
2,0.367670364500792,56,"nTrans"
1,0.388011340623734,57,"nTrans"
2,0.365376056964842,57,"nTrans"
1,0.450892857142857,58,"nTrans"
2,0.364985163204748,58,"nTrans"
1,0.39875631558492,59,"nTrans"
2,0.351376574895007,59,"nTrans"
1,0.400603708495041,60,"nTrans"
2,0.354609929078014,60,"nTrans"
1,0.393016344725111,61,"nTrans"
2,0.356225296442688,61,"nTrans"
1,0.439828080229226,62,"nTrans"
2,0.366351418616227,62,"nTrans"
1,0.394979079497908,63,"nTrans"
2,0.320954907161804,63,"nTrans"
1,0.384445426425099,64,"nTrans"
2,0.370566653077864,64,"nTrans"
1,0.431266846361186,65,"nTrans"
2,0.36713638651233,65,"nTrans"
1,0.447562776957164,66,"nTrans"
2,0.3654369893538,66,"nTrans"
1,0.397223466188983,67,"nTrans"
2,0.359242851389448,67,"nTrans"
1,0.3690872751499,68,"nTrans"
2,0.381026438569207,68,"nTrans"
1,0.389000670690812,69,"nTrans"
2,0.371782945736434,69,"nTrans"
1,0.450222882615156,70,"nTrans"
2,0.365075439030423,70,"nTrans"
1,0.450222882615156,71,"nTrans"
2,0.365075439030423,71,"nTrans"
1,0.388566694283347,72,"nTrans"
2,0.373325733827301,72,"nTrans"
