realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,summer,realtime,HHcomp,oppo,male,female,white,visitor,engflu,age,income,disability,nonbinary,duration,dayofweek_Friday,dayofweek_Saturday,dayofweek_Sunday,dayofweek_Weekday,plan_couldhave,plan_known,plan_nonweb,plan_web,access_bike,access_drive,access_walk,egress_bike,egress_drive,egress_walk,worktype_fullO,worktype_fullT,worktype_partialT,worktype_unemp,worktype_unfixed,stu_K12,stu_full,stu_no,stu_part,choicerider_choicerider,choicerider_dependent,choicerider_potentially,purpose_HBEd,purpose_HBO,purpose_HBSh,purpose_HBSo,purpose_HBW,purpose_NHB
619.0,87_902,0.0,1.0,6.98,-15.0,12.019999999999982,0.0,8.0,121,7.0,6.98,18.999999999999982,33.999999999999986,36.999999999999986,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,30.0,0.0,0,3.883333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
642.0,122,1.0,0.0,10.0,-3.0,6.0,0.0,0.0,122,3.0,10.0,16.0,19.0,19.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0,2.3000000000000007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
595.0,902,0.0,0.0,7.0,-3.0,6.0,0.0,3.0,122,0.0,7.0,13.0,16.0,16.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0,2.3000000000000007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
624.0,121,1.0,0.0,6.0,-16.0,6.0,0.0,0.0,124,16.0,6.0,12.0,28.0,28.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,20.0,0.0,0,-0.4174542976288413,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618.0,87_902,0.0,1.0,6.98,-16.0,12.019999999999982,0.0,8.0,124,8.0,6.98,18.999999999999982,34.999999999999986,37.999999999999986,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,20.0,0.0,0,-0.4174542976288413,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
599.0,121,1.0,0.0,4.0,-17.0,6.0,0.0,0.0,129,17.0,4.0,10.0,27.0,27.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,90.0,0.0,1,7.0166666666666675,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
628.0,902_87,0.0,1.0,7.5,-17.0,6.5,0.0,8.0,129,9.0,7.5,14.0,31.0,34.0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,90.0,0.0,1,7.0166666666666675,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,121,1.0,0.0,2.0,-18.0,6.0,0.0,0.0,131,18.0,2.0,8.0,26.0,26.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,7.5,0.0,0,-3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
642.0,902_121,0.0,1.0,6.5600000000000005,-15.0,7.440000000000055,0.0,2.0,131,13.0,6.5600000000000005,14.000000000000055,29.000000000000057,32.00000000000006,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,7.5,0.0,0,-3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
778.0,122,1.0,0.0,6.0,-5.0,6.0,0.0,0.0,160,5.0,6.0,12.0,17.0,17.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,20.0,0.0,0,0.19661261198625998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
