"","aclass","nTrans","wk","iv","wt","nwk","tiv","ntiv","aux","ov","tt","cost","tway","summer","realtime","HHcomp","oppo","male","female","white","visitor","engflu","age","income","disability","nonbinary","duration","dayofweek_Friday","dayofweek_Saturday","dayofweek_Sunday","dayofweek_Weekday","plan_couldhave","plan_known","plan_nonweb","plan_web","access_bike","access_drive","access_walk","egress_bike","egress_drive","egress_walk","worktype_fullO","worktype_fullT","worktype_partialT","worktype_unemp","worktype_unfixed","stu_K12","stu_full","stu_no","stu_part","choicerider_choicerider","choicerider_dependent","choicerider_potentially","purpose_HBEd","purpose_HBO","purpose_HBSh","purpose_HBSo","purpose_HBW","purpose_NHB"
"1","mean_1",0.420560747663551,10.8876401869159,24.1670560747664,7.81679906542056,0.11214953271028,18.4427570093458,5.72429906542056,10.9997897196262,18.8165887850467,42.9836448598131,44.2453271028037,0.968457943925234,0.0946261682242991,0.73714953271028,0.0759345794392523,0.667056074766355,0.617990654205608,0.365654205607477,0.480140186915888,0.0514018691588785,0.98714953271028,40.7120327102804,35.8849299065421,0.161214953271028,0.0198598130841121,1.9462957985219,0.325934579439252,0.251168224299065,0.20911214953271,0.213785046728972,0.401869158878505,0.339953271028037,0.0233644859813084,0.23481308411215,0.0058411214953271,0.0151869158878505,0.978971962616822,0.00116822429906542,0,0.998831775700935,0.543224299065421,0.0549065420560748,0.0642523364485981,0.293224299065421,0.044392523364486,0.0315420560747664,0.0876168224299065,0.843457943925234,0.0373831775700935,0.18107476635514,0.720794392523365,0.0981308411214953,0.0327102803738318,0.117990654205607,0.200934579439252,0.139018691588785,0.321261682242991,0.188084112149533
"2","mean_2",0.367616580310881,9.99858031088083,26.1481865284974,9.30660103626943,0.156217616580311,7.23471502590674,18.9134715025907,10.1547979274611,19.4613989637306,45.609585492228,46.7124352331606,0.429274611398964,0.123316062176166,0.586787564766839,0.0774611398963731,0.611139896373057,0.536269430051813,0.438860103626943,0.443523316062176,0.0230569948186529,0.980051813471503,38.0330310880829,32.050518134715,0.174093264248705,0.0292746113989637,2.10775299382224,0,0,0,1,0.175906735751295,0.386787564766839,0.0357512953367876,0.401554404145078,0.00518134715025907,0.0251295336787565,0.969689119170984,0.00181347150259067,0.00103626943005181,0.997150259067358,0.591450777202073,0.0181347150259067,0.0479274611398964,0.297668393782383,0.0448186528497409,0.0295336787564767,0.140673575129534,0.796891191709845,0.0329015544041451,0.132901554404145,0.758549222797927,0.108549222797927,0.0769430051813472,0.0875647668393782,0.207772020725389,0.104145077720207,0.368652849740933,0.154922279792746
"3","sd_1",0.566716335120614,6.53151510979248,14.9823721363454,3.50973363802304,0.802943156945952,11.8046078372464,10.9467041999613,6.48107062505559,7.22618730520361,17.4218311331729,18.4366936852822,0.174879622711579,0.292869011244228,0.440439234326694,0.265048273957802,0.471542177246234,0.486162853764446,0.481894693362631,0.499897513680847,0.220945119689553,0.112695028402685,15.7890429867157,49.5591490847732,0.367944084946997,0.139600026716138,4.66871800876749,0.468997004113237,0.433938621492766,0.406912386554831,0.410216511722271,0.490562404714281,0.473969918026415,0.151146535460538,0.424129752425992,0.0762482433314922,0.122367341195185,0.143561610659295,0.0341792963512332,0,0.0341792963512332,0.498419374059742,0.227930923473056,0.245345254990965,0.455506531153489,0.206086009729003,0.174879622711579,0.282902124537007,0.36358089825271,0.189809810374321,0.385305242730966,0.44887104624341,0.297665398213039,0.177981246628683,0.322785652857019,0.400933490184347,0.346168291730949,0.467234037782133,0.391007781654704
"4","sd_2",0.550001077183063,6.57571350820826,16.74037870441,4.29591557723088,0.996859642438436,10.9938538294331,17.7582970216039,6.52860916164264,7.74331079040391,19.7249987418464,20.7499632566249,0.495036773198038,0.328842250647433,0.492474111403294,0.267356372075351,0.487554618691911,0.498747402181069,0.49631212762428,0.496864509956803,0.150103986985093,0.139840346568701,15.646047170259,44.5218984612327,0.379238789145787,0.168597071471952,5.12132867608963,0,0,0,0,0.380790127400785,0.48707741354956,0.185693493149777,0.490276184276162,0.0718041537858753,0.156538776355961,0.171463546701248,0.0425517555983797,0.0321786238145535,0.0533137531129402,0.491629303201806,0.133455840059426,0.213640455026969,0.457292134504712,0.206932440034885,0.169318834579603,0.347729558332975,0.402364962016891,0.178402039038836,0.339512287805681,0.428018411366181,0.311113105656009,0.266535520309614,0.282697510711356,0.405765279926642,0.305488228029742,0.4825020612745,0.36187745613445
"5","tstat",2.48598758011122,3.59853835216517,-3.42371974660828,-10.759703918794,-1.38621540512252,25.4398127713894,-28.0121860164796,3.44643283606435,-2.33077588786701,-3.89134393767458,-3.45926674196148,54.1311957459015,-2.53371479640437,8.83791609407668,-0.152210394150039,3.1192861297129,4.4283259097537,-3.99905123314686,1.94098077959039,3.57492216662856,1.59096934315495,4.49855114342536,2.08477872496149,-0.92125018172676,-1.71517173728705,-0.898949253078747,20.3328029781863,16.934534866327,15.0354087243946,-56.0744528488249,12.6574208940637,-2.6023030927516,-2.07540487360342,-10.1023909078105,0.231428193489257,-2.0362845598017,1.64890498085677,-0.476482258359311,-2.00077785703336,1.16005024356068,-2.56745878849078,4.55027564514539,1.80119069757861,-0.25806133398383,-0.0546905795913962,0.305724738184713,-4.74891203195973,3.32305140544255,0.631691387672262,3.37862548332237,-2.24492242245114,-0.91876414485071,-5.94219619318102,2.54949751095153,-0.450413389632782,2.72177651680841,-2.66872742235284,2.27470818834807
"6","Pval",0.0130504037696442,0.000332334743400303,0.000635923522639166,4.75745221994482e-26,0.165887079379257,1.23715278322813e-114,7.03872568650413e-146,0.000586610145777251,0.0199143958823929,0.000104424872896759,0.000558161447630477,0,0.0113962557811503,2.92718674166161e-18,0.879045171675211,0.00185298323712534,1.03030168496707e-05,6.72092040474533e-05,0.0524838547768102,0.000366476319472491,0.111827210006626,7.47558021860925e-06,0.0373039559643909,0.357092149167742,0.0865254045135506,0.368839895452855,2.80768719340127e-75,1.08049539131513e-55,1.65145163077853e-45,1.13038956532765e-288,2.28854009866679e-34,0.00936636244999666,0.0381206731755323,3.25423607007852e-23,0.817021165133103,0.041892234609673,0.099383815394634,0.633800040246387,0.0454862598287403,0.246173809251188,0.0103600713893823,6.02310829561471e-06,0.0719325686012215,0.796401519025097,0.956393603223556,0.759865734890451,2.24235460665583e-06,0.000914048357864397,0.527707630999786,0.000752537760925768,0.0249511708224669,0.35838905733608,3.36298678493528e-09,0.0109152756544142,0.652489091090199,0.00658975689237009,0.00770930953659642,0.0230991234852536
"7","sig",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1
