realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,matchiv,matchaux,compProp,PS
359,902,1,0,6.0,29,6.0,0,29,177125,0,6.0,12.0,41.0,41.0,1,29,6.0,1.0,0.0
356,3,0,0,8.0,35,11.0,0,0,177125,35,8.0,19.0,54.0,54.0,0,29,6.0,1.3170731707317074,0.0
877,74_921,0,1,5.72,66,8.28,0,19,177146,47,5.72,14.0,80.0,90.0,1,50,8.4,1.0,0.014843
897,74_65,0,1,10.42,61,9.58,0,0,177146,61,10.42,20.0,81.0,91.0,0,50,8.4,1.011111111111111,0.013563
877,74_902_921,1,2,8.4,50,21.6,0,26,177146,24,8.4,30.0,80.0,100.0,1,50,8.4,1.1111111111111112,0.021969
1090,901_74,1,1,18.36,29,9.64,0,13,177151,16,18.36,28.0,57.0,67.0,1,29,18.36,1.0,0.000566
1105,901_921,0,1,21.96,26,11.04,0,26,177151,0,21.96,33.0,59.0,69.0,1,29,18.36,1.0298507462686568,0.002265
914,724,1,0,6.0,15,11.0,0,0,177166,15,6.0,17.0,32.0,32.0,0,15,6.0,1.0,0.060274
913,723_724,0,1,8.0,14,11.0,0,0,177166,14,8.0,19.0,33.0,43.0,0,15,6.0,1.34375,0.060274
942,22_724,0,1,9.9,16,8.1,0,0,177166,16,9.9,18.0,34.0,44.0,0,15,6.0,1.375,0.053401
941,923_724,0,1,9.54,16,10.46,0,2,177166,14,9.54,20.0,36.0,46.0,1,15,6.0,1.4375,0.057762
896,902,1,0,15.0,15,6.0,0,15,177176,0,15.0,21.0,36.0,36.0,1,15,15.0,1.0,0.0
918,67,0,0,15.0,22,10.0,0,0,177176,22,15.0,25.0,47.0,47.0,0,15,15.0,1.3055555555555556,0.0
922,64_902,0,1,13.12,50,7.88,0,9,177178,41,13.12,21.0,71.0,81.0,1,45,14.12,1.0,0.0
913,54_65,0,1,11.42,51,11.58,0,0,177178,51,11.42,23.0,74.0,84.0,0,45,14.12,1.037037037037037,0.030548
913,54_902,1,1,14.12,45,20.88,0,9,177178,36,14.12,35.0,80.0,90.0,1,45,14.12,1.1111111111111112,0.042649
898,80_74_902,0,2,13.44,47,14.56,0,9,177178,38,13.44,28.0,75.0,95.0,1,45,14.12,1.1728395061728396,0.0
875,87_61,0,1,10.0,34,14.0,0,0,177186,34,10.0,24.0,58.0,68.0,0,35,6.98,1.0,0.027182
836,32_17,0,1,10.28,35,14.72,0,0,177186,35,10.28,25.0,60.0,70.0,0,35,6.98,1.0294117647058822,0.0
846,87_121_902,0,2,8.68,33,12.32,0,5,177186,28,8.68,21.0,54.0,74.0,1,35,6.98,1.088235294117647,0.064579
846,87_902,1,1,6.98,35,22.02,0,16,177186,19,6.98,29.0,64.0,74.0,1,35,6.98,1.088235294117647,0.00149
846,87_121_3,0,2,8.56,33,13.44,0,0,177186,33,8.56,22.0,55.0,75.0,0,35,6.98,1.1029411764705883,0.055454
911,902,1,0,13.0,9,6.0,0,9,177187,0,13.0,19.0,28.0,28.0,1,9,13.0,1.0,0.0
917,67,0,0,17.0,8,11.0,0,0,177187,8,17.0,28.0,36.0,36.0,0,9,13.0,1.2857142857142858,0.0
906,87_61,0,1,5.0,30,15.0,0,0,177192,30,5.0,20.0,50.0,60.0,0,33,5.12,1.0,0.013863
908,902_68,1,1,5.12,33,13.88,0,19,177192,14,5.12,19.0,52.0,62.0,1,33,5.12,1.0333333333333334,0.0
904,63_87_61,0,2,7.0,31,14.0,0,0,177192,31,7.0,21.0,52.0,72.0,0,33,5.12,1.2,0.01333
900,923,1,0,13.0,16,5.0,0,16,177194,0,13.0,18.0,34.0,34.0,1,16,13.0,1.0,0.077016
897,7_923,0,1,8.26,18,10.74,0,16,177194,2,8.26,19.0,37.0,47.0,1,16,13.0,1.3823529411764706,0.053661
970,902_71,1,1,13.12,47,9.88,0,29,177199,18,13.12,23.0,70.0,80.0,1,47,13.12,1.0,0.024768
974,2_902_71,0,2,3.46,51,11.54,0,29,177199,22,3.46,15.0,66.0,86.0,1,47,13.12,1.075,0.022719
990,94_71,0,1,22.3,44,15.7,0,0,177199,44,22.3,38.0,82.0,92.0,0,47,13.12,1.15,0.025563
914,724,1,0,6.0,15,11.0,0,0,177202,15,6.0,17.0,32.0,32.0,0,15,6.0,1.0,0.060274
913,723_724,0,1,8.0,14,11.0,0,0,177202,14,8.0,19.0,33.0,43.0,0,15,6.0,1.34375,0.060274
942,22_724,0,1,9.9,16,8.1,0,0,177202,16,9.9,18.0,34.0,44.0,0,15,6.0,1.375,0.053401
941,923_724,0,1,9.54,16,10.46,0,2,177202,14,9.54,20.0,36.0,46.0,1,15,6.0,1.4375,0.057762
914,724,1,0,6.0,15,11.0,0,0,177205,15,6.0,17.0,32.0,32.0,0,15,6.0,1.0,0.060274
913,723_724,0,1,8.0,14,11.0,0,0,177205,14,8.0,19.0,33.0,43.0,0,15,6.0,1.34375,0.060274
942,22_724,0,1,9.9,16,8.1,0,0,177205,16,9.9,18.0,34.0,44.0,0,15,6.0,1.375,0.053401
941,923_724,0,1,9.54,16,10.46,0,2,177205,14,9.54,20.0,36.0,46.0,1,15,6.0,1.4375,0.057762
909,902_70,1,1,31.28,33,8.72,0,17,177206,16,31.28,40.0,73.0,83.0,1,33,31.28,1.0,0.020387
909,902_63_70,0,2,31.28,33,7.72,0,17,177206,16,31.28,39.0,72.0,92.0,1,33,31.28,1.108433734939759,0.020387
978,902,1,0,8.0,14,6.0,0,14,177231,0,8.0,14.0,28.0,28.0,1,14,8.0,1.0,0.0
962,3_2,0,1,7.0,17,6.0,0,0,177231,17,7.0,13.0,30.0,40.0,0,14,8.0,1.4285714285714286,0.0
961,902,1,0,6.0,6,6.0,0,6,177236,0,6.0,12.0,18.0,18.0,1,6,6.0,1.0,0.0
958,33,0,0,14.0,5,5.0,0,0,177236,5,14.0,19.0,24.0,24.0,0,6,6.0,1.3333333333333333,0.0
964,901,0,0,11.0,5,6.0,0,5,177238,0,11.0,17.0,22.0,22.0,1,8,6.0,1.0,0.05686
968,902,0,0,12.0,4,6.0,0,4,177238,0,12.0,18.0,22.0,22.0,1,8,6.0,1.0,0.186825
988,923,0,0,14.0,3,5.0,0,3,177238,0,14.0,19.0,22.0,22.0,1,8,6.0,1.0,0.102688
983,14,1,0,6.0,8,9.0,0,0,177238,8,6.0,15.0,23.0,23.0,0,8,6.0,1.0454545454545454,0.0
968,5,0,0,11.0,5,8.0,0,0,177238,5,11.0,19.0,24.0,24.0,0,8,6.0,1.0909090909090908,0.115539
959,5,0,0,6.0,6,8.0,0,0,177243,6,6.0,14.0,20.0,20.0,0,7,15.0,1.0,1e-06
967,923,1,0,15.0,7,5.0,0,7,177243,0,15.0,20.0,27.0,27.0,1,7,15.0,1.35,0.308065
985,30_10,0,1,5.54,55,13.46,0,0,177245,55,5.54,19.0,74.0,84.0,0,62,4.7,1.0,0.009765
1006,902_10,1,1,4.7,62,9.3,0,16,177245,46,4.7,14.0,76.0,86.0,1,62,4.7,1.0238095238095237,0.01136
962,3,1,0,11.0,30,10.0,0,0,177249,30,11.0,21.0,51.0,51.0,0,30,11.0,1.0,0.038753
969,902_3,0,1,7.34,28,8.66,0,6,177249,22,7.34,16.0,44.0,54.0,1,30,11.0,1.0588235294117647,0.040747
956,7_3,0,1,10.0,31,11.0,0,0,177249,31,10.0,21.0,52.0,62.0,0,30,11.0,1.2156862745098038,0.037432
996,87,1,0,16.0,10,11.0,0,0,177255,10,16.0,27.0,37.0,37.0,0,10,16.0,1.0,0.036486
970,74_46,0,1,11.7,9,9.3,0,0,177255,9,11.7,21.0,30.0,40.0,0,10,16.0,1.0810810810810811,0.003473
969,74_87,0,1,13.0,10,11.0,0,0,177255,10,13.0,24.0,34.0,44.0,0,10,16.0,1.1891891891891893,0.034661
1009,74_921,0,1,19.94,9,8.06,0,4,177255,5,19.94,28.0,37.0,47.0,1,10,16.0,1.2702702702702702,0.007578
1002,902,1,0,7.0,13,6.0,0,13,177273,0,7.0,13.0,26.0,26.0,1,13,7.0,1.0,0.099018
990,902_61,0,1,1.88,13,6.12,0,10,177273,3,1.88,8.0,21.0,31.0,1,13,7.0,1.1923076923076923,0.000572
1028,902,1,0,23.0,21,6.0,0,21,177289,0,23.0,29.0,50.0,50.0,1,21,23.0,1.0,0.069315
1026,63_902,0,1,24.26,21,6.74,0,21,177289,0,24.26,31.0,52.0,62.0,1,21,23.0,1.24,0.057422
1082,902,1,0,12.0,2,6.0,0,2,177322,0,12.0,18.0,20.0,20.0,1,2,12.0,1.0,0.0
1090,122,0,0,17.0,2,6.0,0,0,177322,2,17.0,23.0,25.0,25.0,0,2,12.0,1.25,0.0
