realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,matchiv,matchaux,compProp,PS
409,17_61,0,1,19.0,25,8.0,0,0,78,25,19.0,27.0,52.0,62.0,0,23,25.56,1.0,0.021004
428,902_87,0,1,23.5,24,6.5,0,16,78,8,23.5,30.0,54.0,64.0,1,23,25.56,1.032258064516129,0.001367
404,11_10_61,0,2,15.0,27,6.0,0,0,78,27,15.0,21.0,48.0,68.0,0,23,25.56,1.096774193548387,0.019804
428,902_121,1,1,25.56,23,9.44,0,10,78,13,25.56,35.0,58.0,68.0,1,23,25.56,1.096774193548387,0.005218
448,902,0,0,6.0,5,5.0,0,5,84,0,6.0,11.0,16.0,16.0,1,5,8.0,1.0,0.0
455,122,1,0,8.0,5,5.0,0,0,84,5,8.0,13.0,18.0,18.0,0,5,8.0,1.125,0.0
482,2,0,0,11.0,2,6.0,0,0,95,2,11.0,17.0,19.0,19.0,0,5,10.0,1.0,0.346574
485,122,1,0,10.0,5,5.0,0,0,95,5,10.0,15.0,20.0,20.0,0,5,10.0,1.0526315789473684,0.01083
493,902,0,0,11.0,5,6.0,0,5,95,0,11.0,17.0,22.0,22.0,1,5,10.0,1.1578947368421053,0.0
470,475,0,0,10.0,3,13.0,0,0,95,3,10.0,23.0,26.0,26.0,0,5,10.0,1.368421052631579,0.0
443,902,0,0,12.0,5,5.0,0,5,96,0,12.0,17.0,22.0,22.0,1,5,15.0,1.0,0.0
426,2,0,0,15.0,3,5.0,0,0,96,3,15.0,20.0,23.0,23.0,0,5,15.0,1.0454545454545454,0.0
421,121,1,0,15.0,5,5.0,0,0,96,5,15.0,20.0,25.0,25.0,0,5,15.0,1.1363636363636365,0.0
489,121,1,0,5.0,20,2.0,4,0,98,20,9.0,11.0,31.0,31.0,0,20,9.0,1.0,0.150506
508,902_87,0,1,4.5,19,6.5,4,10,98,9,8.5,15.0,34.0,44.0,1,20,9.0,1.4193548387096775,0.001647
496,902_121,0,1,6.56,17,6.44,4,4,98,13,10.559999999999999,17.0,34.0,44.0,1,20,9.0,1.4193548387096775,0.150509
475,2_121,0,1,5.0,20,6.0,4,0,98,20,9.0,15.0,35.0,45.0,0,20,9.0,1.4516129032258065,0.150506
548,121,1,0,15.0,14,2.0,0,0,109,14,15.0,17.0,31.0,31.0,0,14,15.0,1.0,0.144175
534,3,0,0,8.0,15,10.0,0,0,109,15,8.0,18.0,33.0,33.0,0,14,15.0,1.064516129032258,0.0
559,87_902,0,1,6.98,13,12.02,0,8,109,5,6.98,19.0,32.0,42.0,1,14,15.0,1.3548387096774193,0.0
539,122,1,0,7.0,5,5.0,0,0,112,5,7.0,12.0,17.0,17.0,0,5,7.0,1.0,0.0
556,2,0,0,6.0,6,6.0,0,0,112,6,6.0,12.0,18.0,18.0,0,5,7.0,1.0588235294117647,0.0
565,902,0,0,11.0,2,6.0,0,2,112,0,11.0,17.0,19.0,19.0,1,5,7.0,1.1176470588235294,0.0
534,465,0,0,6.0,6,8.0,0,0,112,6,6.0,14.0,20.0,20.0,0,5,7.0,1.1764705882352942,0.0
595,902,0,0,7.0,3,6.0,0,3,122,0,7.0,13.0,16.0,16.0,1,3,10.0,1.0,0.0
598,122,1,0,10.0,3,5.0,0,0,122,3,10.0,15.0,18.0,18.0,0,3,10.0,1.125,0.256721
623,2,0,0,11.0,4,6.0,0,0,122,4,11.0,17.0,21.0,21.0,0,3,10.0,1.3125,0.256721
600,2_121,1,1,5.0,39,6.0,0,0,128,39,5.0,11.0,50.0,60.0,0,39,5.0,1.0,4.4e-05
597,18_902_121,0,2,9.24,35,8.76,0,10,128,25,9.24,18.0,53.0,73.0,1,39,5.0,1.2166666666666666,5.7e-05
656,122,1,0,8.0,5,5.0,0,0,130,5,8.0,13.0,18.0,18.0,0,5,8.0,1.0,0.013538
675,902,0,0,9.0,3,6.0,0,3,130,0,9.0,15.0,18.0,18.0,1,5,8.0,1.0,0.0
659,2,0,0,7.0,6,6.0,0,0,130,6,7.0,13.0,19.0,19.0,0,5,8.0,1.0555555555555556,0.175994
653,465,0,0,11.0,3,11.0,0,0,130,3,11.0,22.0,25.0,25.0,0,5,8.0,1.3888888888888888,0.0
666,121,0,0,13.0,18,2.0,0,0,133,18,13.0,15.0,33.0,33.0,0,21,3.74,1.0,0.011024
661,121_120,1,1,3.74,21,2.26,0,0,133,21,3.74,6.0,27.0,37.0,0,21,3.74,1.121212121212121,0.008664
681,87_902,0,1,6.98,14,11.02,0,8,133,6,6.98,18.0,32.0,42.0,1,21,3.74,1.2727272727272727,0.0
666,121,1,0,15.0,14,2.0,0,0,136,14,15.0,17.0,31.0,31.0,0,14,15.0,1.0,0.0
679,87_902,0,1,8.98,15,11.02,0,8,136,7,8.98,20.0,35.0,45.0,1,14,15.0,1.4516129032258065,0.0
661,2,0,0,0.0,6,6.0,0,0,137,6,0.0,6.0,12.0,12.0,0,5,3.0,1.0,0.147418
658,122,1,0,3.0,5,5.0,0,0,137,5,3.0,8.0,13.0,13.0,0,5,3.0,1.0833333333333333,0.015122
657,123,0,0,3.0,6,5.0,0,0,137,6,3.0,8.0,14.0,14.0,0,5,3.0,1.1666666666666667,0.156945
687,902,0,0,6.0,3,6.0,0,3,137,0,6.0,12.0,15.0,15.0,1,5,3.0,1.25,0.0
667,121,1,0,16.0,19,2.0,0,0,138,19,16.0,18.0,37.0,37.0,0,19,16.0,1.0,0.225017
689,123_121,0,1,11.0,18,6.0,0,0,138,18,11.0,17.0,35.0,45.0,0,19,16.0,1.2162162162162162,0.193432
684,902_87,0,1,10.5,19,6.5,0,10,138,9,10.5,17.0,36.0,46.0,1,19,16.0,1.2432432432432432,0.001647
672,902_121,0,1,14.56,16,6.44,0,4,138,12,14.56,21.0,37.0,47.0,1,19,16.0,1.2702702702702702,0.216573
683,2_121,0,1,10.0,22,9.0,0,0,138,22,10.0,19.0,41.0,51.0,0,19,16.0,1.3783783783783783,0.151112
718,2,0,0,3.0,7,6.0,0,0,145,7,3.0,9.0,16.0,16.0,0,5,7.0,1.0,0.144175
725,122,1,0,7.0,5,5.0,0,0,145,5,7.0,12.0,17.0,17.0,0,5,7.0,1.0625,0.013538
745,902,0,0,7.0,5,6.0,0,5,145,0,7.0,13.0,18.0,18.0,1,5,7.0,1.125,0.0
723,122,1,0,13.0,5,5.0,0,0,154,5,13.0,18.0,23.0,23.0,0,5,13.0,1.0,0.013538
716,2,0,0,12.0,6,6.0,0,0,154,6,12.0,18.0,24.0,24.0,0,5,13.0,1.0434782608695652,0.175994
730,902,0,0,15.0,5,6.0,0,5,154,0,15.0,21.0,26.0,26.0,1,5,13.0,1.1304347826086956,0.0
710,465,0,0,17.0,3,11.0,0,0,154,3,17.0,28.0,31.0,31.0,0,5,13.0,1.3478260869565217,0.0
781,121,0,0,11.0,2,2.0,0,0,160,2,11.0,13.0,15.0,15.0,0,5,6.0,1.0,0.0
779,122,1,0,6.0,5,5.0,0,0,160,5,6.0,11.0,16.0,16.0,0,5,6.0,1.0666666666666667,0.139738
790,2,0,0,9.0,4,6.0,0,0,160,4,9.0,15.0,19.0,19.0,0,5,6.0,1.2666666666666666,0.256721
795,902,0,0,11.0,3,6.0,0,3,160,0,11.0,17.0,20.0,20.0,1,5,6.0,1.3333333333333333,0.0
837,122,1,0,4.0,5,5.0,0,0,172,5,4.0,9.0,14.0,14.0,0,5,4.0,1.0,0.015122
839,2,0,0,1.0,8,6.0,0,0,172,8,1.0,7.0,15.0,15.0,0,5,4.0,1.0714285714285714,0.147418
846,123,0,0,4.0,6,5.0,0,0,172,6,4.0,9.0,15.0,15.0,0,5,4.0,1.0714285714285714,0.156945
854,902,0,0,7.0,3,6.0,0,3,172,0,7.0,13.0,16.0,16.0,1,5,4.0,1.1428571428571428,0.0
840,902,0,0,11.0,3,6.0,0,3,173,0,11.0,17.0,20.0,20.0,1,1,15.0,1.0,0.0
851,122,1,0,15.0,1,5.0,0,0,173,1,15.0,20.0,21.0,21.0,0,1,15.0,1.05,0.89588
856,2,0,0,13.0,4,6.0,0,0,173,4,13.0,19.0,23.0,23.0,0,1,15.0,1.15,0.417548
850,3,0,0,14.0,3,11.0,0,0,173,3,14.0,25.0,28.0,28.0,0,1,15.0,1.4,0.051344
843,698,0,0,15.0,2,11.0,0,0,173,2,15.0,26.0,28.0,28.0,0,1,15.0,1.4,0.89588
844,123,0,0,8.0,4,5.0,0,0,178,4,8.0,13.0,17.0,17.0,0,5,9.0,1.0,0.002708
845,902,0,0,9.0,2,6.0,0,2,178,0,9.0,15.0,17.0,17.0,1,5,9.0,1.0,0.0
873,122,1,0,9.0,5,5.0,0,0,178,5,9.0,14.0,19.0,19.0,0,5,9.0,1.1176470588235294,0.0
844,2,0,0,12.0,3,6.0,0,0,178,3,12.0,18.0,21.0,21.0,0,5,9.0,1.2352941176470589,0.025672
885,7,0,0,9.0,5,10.0,0,0,178,5,9.0,19.0,24.0,24.0,0,5,9.0,1.411764705882353,0.0
836,122,1,0,7.0,5,5.0,0,0,179,5,7.0,12.0,17.0,17.0,0,5,7.0,1.0,0.027726
865,902,0,0,8.0,3,6.0,0,3,179,0,8.0,14.0,17.0,17.0,1,5,7.0,1.0,0.0
850,121_3,0,1,6.0,4,4.0,0,0,179,4,6.0,10.0,14.0,24.0,0,5,7.0,1.411764705882353,0.002708
840,122,1,0,3.0,3,5.0,0,0,180,3,3.0,8.0,11.0,11.0,0,3,3.0,1.0,0.256721
841,2,0,0,2.0,4,6.0,0,0,180,4,2.0,8.0,12.0,12.0,0,3,3.0,1.0909090909090908,0.256721
857,902,0,0,4.0,3,6.0,0,3,180,0,4.0,10.0,13.0,13.0,1,3,3.0,1.1818181818181819,0.0
839,123,0,0,13.0,4,5.0,0,0,182,4,13.0,18.0,22.0,22.0,0,5,14.0,1.0,0.072955
843,2,0,0,11.0,6,6.0,0,0,182,6,11.0,17.0,23.0,23.0,0,5,14.0,1.0454545454545454,0.162757
840,902,0,0,13.0,4,6.0,0,4,182,0,13.0,19.0,23.0,23.0,1,5,14.0,1.0454545454545454,0.0
839,122,1,0,14.0,5,5.0,0,0,182,5,14.0,19.0,24.0,24.0,0,5,14.0,1.0909090909090908,0.0
848,121,0,0,19.0,3,2.0,0,0,182,3,19.0,21.0,24.0,24.0,0,5,14.0,1.0909090909090908,0.823959
902,902,0,0,10.0,3,6.0,0,3,183,0,10.0,16.0,19.0,19.0,1,5,10.0,1.0,0.0
916,2,0,0,13.0,1,5.0,0,0,183,1,13.0,18.0,19.0,19.0,0,5,10.0,1.0,0.0
913,122,1,0,10.0,5,5.0,0,0,183,5,10.0,15.0,20.0,20.0,0,5,10.0,1.0526315789473684,0.0
902,122,1,0,4.0,5,5.0,0,0,186,5,4.0,9.0,14.0,14.0,0,5,4.0,1.0,0.0
903,902,0,0,9.0,2,6.0,0,2,186,0,9.0,15.0,17.0,17.0,1,5,4.0,1.2142857142857142,0.0
901,122,1,0,9.0,3,5.0,0,0,188,3,9.0,14.0,17.0,17.0,0,3,9.0,1.0,0.417548
902,2,0,0,10.0,4,6.0,0,0,188,4,10.0,16.0,20.0,20.0,0,3,9.0,1.1764705882352942,0.417548
915,902,0,0,11.0,3,6.0,0,3,188,0,11.0,17.0,20.0,20.0,1,3,9.0,1.1764705882352942,0.0
892,3,0,0,10.0,3,10.0,0,0,188,3,10.0,20.0,23.0,23.0,0,3,9.0,1.3529411764705883,0.282393
927,252,0,0,8.0,3,13.0,0,0,188,3,8.0,21.0,24.0,24.0,0,3,9.0,1.411764705882353,0.494565
913,6,0,0,20.0,1,10.0,0,0,189,1,20.0,30.0,31.0,31.0,0,2,26.0,1.0,0.0
897,122,1,0,26.0,2,5.0,0,0,189,2,26.0,31.0,33.0,33.0,0,2,26.0,1.064516129032258,0.51986
915,121_2,0,1,16.0,8,3.0,0,0,189,8,16.0,19.0,27.0,37.0,0,2,26.0,1.1935483870967742,0.0
912,902_122,0,1,15.48,6,6.52,0,3,189,3,15.48,22.0,28.0,38.0,1,2,26.0,1.2258064516129032,0.138851
966,902,0,0,5.0,3,6.0,0,3,201,0,5.0,11.0,14.0,14.0,1,3,6.0,1.0,0.0
958,122,1,0,6.0,3,5.0,0,0,201,3,6.0,11.0,14.0,14.0,0,3,6.0,1.0,0.406893
959,2,0,0,5.0,5,6.0,0,0,201,5,5.0,11.0,16.0,16.0,0,3,6.0,1.1428571428571428,0.278945
968,695,0,0,9.0,2,6.0,0,0,201,2,9.0,15.0,17.0,17.0,0,3,6.0,1.2142857142857142,0.823959
539,122,1,0,9.0,3,5.0,0,0,226,3,9.0,14.0,17.0,17.0,0,3,9.0,1.0,0.256721
540,2,0,0,10.0,4,6.0,0,0,226,4,10.0,16.0,20.0,20.0,0,3,9.0,1.1764705882352942,0.256721
553,902,0,0,14.0,3,6.0,0,3,226,0,14.0,20.0,23.0,23.0,1,3,9.0,1.3529411764705883,0.0
542,122,1,0,4.0,5,5.0,0,0,228,5,4.0,9.0,14.0,14.0,0,5,4.0,1.0,0.0
556,902,0,0,8.0,2,6.0,0,2,228,0,8.0,14.0,16.0,16.0,1,5,4.0,1.1428571428571428,0.0
558,123,0,0,11.0,3,5.0,0,0,228,3,11.0,16.0,19.0,19.0,0,5,4.0,1.3571428571428572,0.0
539,122,1,0,2.0,5,5.0,0,0,232,5,2.0,7.0,12.0,12.0,0,5,2.0,1.0,0.183683
539,2,0,0,1.0,7,6.0,0,0,232,7,1.0,7.0,14.0,14.0,0,5,2.0,1.1666666666666667,0.120626
536,123,0,0,4.0,6,5.0,0,0,232,6,4.0,9.0,15.0,15.0,0,5,2.0,1.25,0.183102
565,902,0,0,8.0,3,6.0,0,3,232,0,8.0,14.0,17.0,17.0,1,5,2.0,1.4166666666666667,0.0
580,122,1,0,6.0,5,5.0,0,0,234,5,6.0,11.0,16.0,16.0,0,5,6.0,1.0,0.0
553,902,0,0,11.0,2,6.0,0,2,234,0,11.0,17.0,19.0,19.0,1,5,6.0,1.1875,0.0
599,122,1,0,12.0,2,5.0,0,0,241,2,12.0,17.0,19.0,19.0,0,2,12.0,1.0,0.077016
599,2,0,0,13.0,1,6.0,0,0,241,1,13.0,19.0,20.0,20.0,0,2,12.0,1.0526315789473684,0.173287
609,902,0,0,15.0,2,6.0,0,2,241,0,15.0,21.0,23.0,23.0,1,2,12.0,1.2105263157894737,0.0
600,2,0,0,1.0,6,6.0,0,0,243,6,1.0,7.0,13.0,13.0,0,5,4.0,1.0,0.147418
597,122,1,0,4.0,5,5.0,0,0,243,5,4.0,9.0,14.0,14.0,0,5,4.0,1.0769230769230769,0.015122
596,123,0,0,4.0,6,5.0,0,0,243,6,4.0,9.0,15.0,15.0,0,5,4.0,1.1538461538461537,0.156945
602,902,0,0,5.0,5,6.0,0,5,243,0,5.0,11.0,16.0,16.0,1,5,4.0,1.2307692307692308,0.0
686,902,0,0,5.0,5,6.0,0,5,254,0,5.0,11.0,16.0,16.0,1,5,6.0,1.0,0.0
657,122,1,0,6.0,5,5.0,0,0,254,5,6.0,11.0,16.0,16.0,0,5,6.0,1.0,0.015122
660,2,0,0,5.0,6,6.0,0,0,254,6,5.0,11.0,17.0,17.0,0,5,6.0,1.0625,0.177578
656,123,0,0,7.0,6,5.0,0,0,254,6,7.0,12.0,18.0,18.0,0,5,6.0,1.125,0.156945
657,122,1,0,7.0,5,5.0,0,0,257,5,7.0,12.0,17.0,17.0,0,5,7.0,1.0,0.013538
660,2,0,0,9.0,2,6.0,0,0,257,2,9.0,15.0,17.0,17.0,0,5,7.0,1.0,0.346574
656,123,0,0,7.0,6,5.0,0,0,257,6,7.0,12.0,18.0,18.0,0,5,7.0,1.0588235294117647,0.099021
662,902,0,0,8.0,5,6.0,0,5,257,0,8.0,14.0,19.0,19.0,1,5,7.0,1.1176470588235294,0.0
654,465,0,0,9.0,3,11.0,0,0,257,3,9.0,20.0,23.0,23.0,0,5,7.0,1.3529411764705883,0.0
841,122,1,0,7.0,3,5.0,0,0,265,3,7.0,12.0,15.0,15.0,0,3,7.0,1.0,0.256721
842,2,0,0,8.0,4,6.0,0,0,265,4,8.0,14.0,18.0,18.0,0,3,7.0,1.2,0.256721
855,902,0,0,12.0,3,6.0,0,3,265,0,12.0,18.0,21.0,21.0,1,3,7.0,1.4,0.0
909,122,1,0,9.0,3,5.0,0,0,276,3,9.0,14.0,17.0,17.0,0,3,9.0,1.0,0.513442
905,902,0,0,10.0,3,6.0,0,3,276,0,10.0,16.0,19.0,19.0,1,3,9.0,1.1176470588235294,0.0
900,2,0,0,10.0,4,6.0,0,0,276,4,10.0,16.0,20.0,20.0,0,3,9.0,1.1764705882352942,0.513442
897,774,0,0,14.0,2,6.0,0,0,276,2,14.0,20.0,22.0,22.0,0,3,9.0,1.2941176470588236,1.039721
916,698,0,0,14.0,2,6.0,0,0,276,2,14.0,20.0,22.0,22.0,0,3,9.0,1.2941176470588236,1.039721
905,902,0,0,5.0,3,6.0,0,3,283,0,5.0,11.0,14.0,14.0,1,3,7.0,1.0,0.0
909,122,1,0,7.0,3,5.0,0,0,283,3,7.0,12.0,15.0,15.0,0,3,7.0,1.0714285714285714,0.513442
900,2,0,0,8.0,4,6.0,0,0,283,4,8.0,14.0,18.0,18.0,0,3,7.0,1.2857142857142858,0.513442
897,774,0,0,10.0,2,6.0,0,0,283,2,10.0,16.0,18.0,18.0,0,3,7.0,1.2857142857142858,1.039721
916,698,0,0,10.0,2,6.0,0,0,283,2,10.0,16.0,18.0,18.0,0,3,7.0,1.2857142857142858,1.039721
959,122,1,0,6.0,5,5.0,0,0,288,5,6.0,11.0,16.0,16.0,0,5,6.0,1.0,0.183683
971,2,0,0,5.0,9,5.0,0,0,288,9,5.0,10.0,19.0,19.0,0,5,6.0,1.1875,0.120626
956,123,0,0,8.0,6,5.0,0,0,288,6,8.0,13.0,19.0,19.0,0,5,6.0,1.1875,0.183102
975,902,0,0,11.0,3,6.0,0,3,288,0,11.0,17.0,20.0,20.0,1,5,6.0,1.25,0.0
969,122,1,0,9.0,3,5.0,0,0,292,3,9.0,14.0,17.0,17.0,0,3,9.0,1.0,0.406893
965,902,0,0,10.0,3,6.0,0,3,292,0,10.0,16.0,19.0,19.0,1,3,9.0,1.1176470588235294,0.0
960,2,0,0,10.0,4,6.0,0,0,292,4,10.0,16.0,20.0,20.0,0,3,9.0,1.1764705882352942,0.406893
969,695,0,0,14.0,2,6.0,0,0,292,2,14.0,20.0,22.0,22.0,0,3,9.0,1.2941176470588236,0.823959
1025,902,0,0,9.0,3,6.0,0,3,297,0,9.0,15.0,18.0,18.0,1,3,12.0,1.0,0.0
1035,122,1,0,12.0,3,5.0,0,0,297,3,12.0,17.0,20.0,20.0,0,3,12.0,1.1111111111111112,0.256721
1040,2,0,0,8.0,7,6.0,0,0,297,7,8.0,14.0,21.0,21.0,0,3,12.0,1.1666666666666667,0.144175
1010,7,0,0,12.0,2,11.0,0,0,297,2,12.0,23.0,25.0,25.0,0,3,12.0,1.3888888888888888,0.0
1031,121,0,0,18.0,3,2.0,0,0,302,3,18.0,20.0,23.0,23.0,0,5,14.0,1.0,0.0
1032,902,0,0,13.0,5,6.0,0,5,302,0,13.0,19.0,24.0,24.0,1,5,14.0,1.0434782608695652,0.0
1052,122,1,0,14.0,5,5.0,0,0,302,5,14.0,19.0,24.0,24.0,0,5,14.0,1.0434782608695652,0.019873
1037,2,0,0,14.0,7,6.0,0,0,302,7,14.0,20.0,27.0,27.0,0,5,14.0,1.173913043478261,0.320682
1042,114,0,0,19.0,2,8.0,0,0,302,2,19.0,27.0,29.0,29.0,0,5,14.0,1.2608695652173914,0.722593
1048,902,0,0,7.0,3,6.0,0,3,309,0,7.0,13.0,16.0,16.0,1,5,10.0,1.0,0.0
1035,122,1,0,10.0,5,5.0,0,0,309,5,10.0,15.0,20.0,20.0,0,5,10.0,1.25,0.013538
1017,2,0,0,9.0,7,6.0,0,0,309,7,9.0,15.0,22.0,22.0,0,5,10.0,1.375,0.175994
1040,122,1,0,6.0,5,5.0,0,0,310,5,6.0,11.0,16.0,16.0,0,5,6.0,1.0,0.0
1021,2,0,0,6.0,9,6.0,0,0,310,9,6.0,12.0,21.0,21.0,0,5,6.0,1.3125,0.134779
1016,123,0,0,13.0,3,5.0,0,0,310,3,13.0,18.0,21.0,21.0,0,5,6.0,1.3125,0.256721
1021,902,0,0,13.0,2,6.0,0,2,310,0,13.0,19.0,21.0,21.0,1,5,6.0,1.3125,0.0
1144,122,1,0,6.0,8,6.0,0,0,325,8,6.0,12.0,20.0,20.0,0,8,6.0,1.0,0.0
1141,2,0,0,6.0,9,6.0,0,0,325,9,6.0,12.0,21.0,21.0,0,8,6.0,1.05,0.0
1141,902,0,0,13.0,2,6.0,0,2,325,0,13.0,19.0,21.0,21.0,1,8,6.0,1.05,0.0
1159,465,0,0,10.0,5,13.0,0,0,325,5,10.0,23.0,28.0,28.0,0,8,6.0,1.4,0.0
1202,122,1,0,7.84,4,6.16,0,0,330,4,7.84,14.0,18.0,18.0,0,4,7.84,1.0,0.0
1229,2,0,0,7.0,9,8.0,0,0,330,9,7.0,15.0,24.0,24.0,0,4,7.84,1.3333333333333333,0.0
1200,121,0,0,17.0,1,6.0,0,0,330,1,17.0,23.0,24.0,24.0,0,4,7.84,1.3333333333333333,0.346574
1195,902,0,0,16.0,3,6.0,0,3,330,0,16.0,22.0,25.0,25.0,1,4,7.84,1.3888888888888888,0.0
423,121,1,0,12.0,16,5.0,0,0,340,16,12.0,17.0,33.0,33.0,0,16,12.0,1.0,0.0
439,87_902,0,1,5.98,15,11.02,0,8,340,7,5.98,17.0,32.0,42.0,1,16,12.0,1.2727272727272727,0.0
525,121,1,0,19.0,15,2.0,0,0,348,15,19.0,21.0,36.0,36.0,0,15,19.0,1.0,0.003209
509,902_87,0,1,10.5,18,6.5,0,8,348,10,10.5,17.0,35.0,45.0,1,15,19.0,1.25,0.0
502,2_61,0,1,8.58,20,8.42,0,0,348,20,8.58,17.0,37.0,47.0,0,15,19.0,1.3055555555555556,0.0
585,121,1,0,13.0,11,2.0,0,0,357,11,13.0,15.0,26.0,26.0,0,11,13.0,1.0,0.0
569,902_87,0,1,7.5,14,6.5,0,8,357,6,7.5,14.0,28.0,38.0,1,11,13.0,1.4615384615384615,0.0
548,121,1,0,17.0,19,2.0,0,0,358,19,17.0,19.0,38.0,38.0,0,19,17.0,1.0,0.101049
565,902_87,0,1,11.5,19,6.5,0,10,358,9,11.5,18.0,37.0,47.0,1,19,17.0,1.236842105263158,0.001647
541,902_121,0,1,15.56,16,8.44,0,4,358,12,15.56,24.0,40.0,50.0,1,19,17.0,1.3157894736842106,0.115524
542,121,1,0,7.0,18,2.0,0,0,359,18,7.0,9.0,27.0,27.0,0,18,7.0,1.0,0.0
560,87_902,0,1,2.98,15,12.02,0,8,359,7,2.98,15.0,30.0,40.0,1,18,7.0,1.4814814814814814,0.0
539,123,1,0,14.0,5,5.0,0,0,364,5,14.0,19.0,24.0,24.0,0,5,14.0,1.0,0.138629
544,3,0,0,10.0,7,10.0,0,0,364,7,10.0,20.0,27.0,27.0,0,5,14.0,1.125,0.001354
552,902,0,0,24.0,3,6.0,0,3,364,0,24.0,30.0,33.0,33.0,1,5,14.0,1.375,0.0
601,121,1,0,14.0,18,2.0,0,0,369,18,14.0,16.0,34.0,34.0,0,18,14.0,1.0,0.0
619,87_902,0,1,8.98,15,12.02,0,8,369,7,8.98,21.0,36.0,46.0,1,18,14.0,1.3529411764705883,0.0
688,121,1,0,17.0,14,2.0,0,0,381,14,17.0,19.0,33.0,33.0,0,14,17.0,1.0,0.0
680,87_902,0,1,8.98,16,11.02,0,8,381,8,8.98,20.0,36.0,46.0,1,14,17.0,1.393939393939394,0.0
667,121,1,0,15.0,16,2.0,0,0,382,16,15.0,17.0,33.0,33.0,0,16,15.0,1.0,0.0
680,87_902,0,1,7.98,16,11.02,0,8,382,8,7.98,19.0,35.0,45.0,1,16,15.0,1.3636363636363635,0.0
692,123,1,0,7.0,4,5.0,0,0,383,4,7.0,12.0,16.0,16.0,0,4,7.0,1.0,0.046029
663,2,0,0,5.0,8,6.0,0,0,383,8,5.0,11.0,19.0,19.0,0,4,7.0,1.1875,0.134779
699,902,0,0,9.0,4,6.0,0,4,383,0,9.0,15.0,19.0,19.0,1,4,7.0,1.1875,0.0
844,122,0,0,4.0,4,5.0,0,0,395,4,4.0,9.0,13.0,13.0,0,3,9.0,1.0,0.0
870,123,1,0,9.0,3,5.0,0,0,395,3,9.0,14.0,17.0,17.0,0,3,9.0,1.3076923076923077,0.219316
844,2,0,0,3.0,9,6.0,0,0,395,9,3.0,9.0,18.0,18.0,0,3,9.0,1.3846153846153846,0.022552
846,902,0,0,10.0,2,6.0,0,2,395,0,10.0,16.0,18.0,18.0,1,3,9.0,1.3846153846153846,0.0
906,121,1,0,11.0,18,2.0,0,0,409,18,11.0,13.0,31.0,31.0,0,18,11.0,1.0,0.174658
905,3,0,0,12.0,18,10.0,0,0,409,18,12.0,22.0,40.0,40.0,0,18,11.0,1.2903225806451613,0.0
915,902_121,0,1,8.56,17,6.44,0,4,409,13,8.56,15.0,32.0,42.0,1,18,11.0,1.3548387096774193,0.139506
928,123_121,0,1,11.0,17,6.0,0,0,409,17,11.0,17.0,34.0,44.0,0,18,11.0,1.4193548387096775,0.174658
902,123,1,0,6.0,4,5.0,0,0,411,4,6.0,11.0,15.0,15.0,0,4,6.0,1.0,0.248779
902,122,0,0,6.0,4,5.0,0,0,411,4,6.0,11.0,15.0,15.0,0,4,6.0,1.0,0.0
903,2,0,0,4.0,10,6.0,0,0,411,10,4.0,10.0,20.0,20.0,0,4,6.0,1.3333333333333333,0.171132
910,121,0,0,16.0,2,2.0,0,0,411,2,16.0,18.0,20.0,20.0,0,4,6.0,1.3333333333333333,0.621227
903,902,0,0,13.0,2,6.0,0,2,411,0,13.0,19.0,21.0,21.0,1,4,6.0,1.4,0.0
874,921_902,0,1,13.24,23,7.76,0,23,415,0,13.24,21.0,44.0,54.0,1,21,17.56,1.0,0.0
870,87_121,1,1,17.56,21,12.44,0,0,415,21,17.56,30.0,51.0,61.0,0,21,17.56,1.1296296296296295,0.0
971,121,1,0,9.0,19,2.0,0,0,435,19,9.0,11.0,30.0,30.0,0,19,9.0,1.0,0.257667
978,902_121,0,1,5.56,16,6.44,0,4,435,12,5.56,12.0,28.0,38.0,1,19,9.0,1.2666666666666666,0.234628
991,123_121,0,1,6.0,18,6.0,0,0,435,18,6.0,12.0,30.0,40.0,0,19,9.0,1.3333333333333333,0.221831
965,122_121,0,1,3.44,18,9.56,0,0,435,18,3.44,13.0,31.0,41.0,0,19,9.0,1.3666666666666667,0.162569
962,2_121,0,1,6.0,21,7.0,0,0,435,21,6.0,13.0,34.0,44.0,0,19,9.0,1.4666666666666666,0.221834
966,121,1,0,11.0,17,2.0,0,0,438,17,11.0,13.0,30.0,30.0,0,17,11.0,1.0,0.208142
976,902_121,0,1,9.56,14,6.44,0,2,438,12,9.56,16.0,30.0,40.0,1,17,11.0,1.3333333333333333,0.188353
958,123_121,0,1,11.0,16,6.0,0,0,438,16,11.0,17.0,33.0,43.0,0,17,11.0,1.4333333333333333,0.208142
1026,121,1,0,11.0,18,2.0,0,0,451,18,11.0,13.0,31.0,31.0,0,18,11.0,1.0,0.174658
1036,902_121,0,1,9.56,15,6.44,0,2,451,13,9.56,16.0,31.0,41.0,1,18,11.0,1.3225806451612903,0.160616
1018,123_121,0,1,11.0,17,6.0,0,0,451,17,11.0,17.0,34.0,44.0,0,18,11.0,1.4193548387096775,0.174658
1131,122,1,0,4.0,8,6.0,0,0,461,8,4.0,10.0,18.0,18.0,0,8,4.0,1.0,0.0
