tuneID,tunegroup,updates,nclass,maxnorm,niter,nnodes,nepoch,lrate,l2,rho0,rho4,rhomax,rhopmean,membership,desired,successprop,postestrho,testrhodes
299,16,,2,1.0,200,64,500,0.05,0.005,200.0,200.0,0.646953685,0.513577892,136.0,96.0,48.00%,200.0,0.422
300,16,Selected294Norm2,2,2.0,200,64,300,0.05,0.005,1.0,,,,,,,,
301,17,NegReluAgain,2,1.0,200,64,300,0.02,0.002,200.0,139.0,0.694260139,0.4649548,176.0,0.0,0,125.0,
302,17,,2,1.0,200,64,300,0.02,0.005,200.0,111.0,0.624193548,0.402035495,141.0,0.0,0,188.0,
303,17,,2,1.0,200,64,300,0.03,0.002,200.0,154.0,0.685497542,0.478905255,183.0,1.0,0.005,153.0,0.213360676
304,17,,2,1.0,200,64,300,0.03,0.005,199.0,106.0,0.62451121,0.399697483,156.0,0.0,0,194.0,
305,17,,2,1.0,200,64,300,0.05,0.002,199.0,136.0,0.674851638,0.435415538,170.0,0.0,0,163.0,
306,17,,2,1.0,200,64,300,0.05,0.005,199.0,89.0,0.554752783,0.373327961,144.0,0.0,0,199.0,
307,17,,2,1.0,200,64,500,0.02,0.002,199.0,165.0,0.794750829,0.545793365,183.0,0.0,0,107.0,
308,17,,2,1.0,200,64,500,0.02,0.005,200.0,129.0,0.700850558,0.450569152,153.0,0.0,0,178.0,
309,17,,2,1.0,200,64,500,0.03,0.002,200.0,159.0,0.742598688,0.520220796,185.0,0.0,0,121.0,
310,17,,2,1.0,200,64,500,0.03,0.005,200.0,145.0,0.644635597,0.45221453,170.0,0.0,0,179.0,
311,17,,2,1.0,200,64,500,0.05,0.002,199.0,151.0,0.774661116,0.477280875,169.0,0.0,0,147.0,
312,17,,2,1.0,200,64,500,0.05,0.005,200.0,107.0,0.565613368,0.400015763,165.0,0.0,0,193.0,
313,17,,2,1.0,200,128,300,0.02,0.002,200.0,149.0,0.738319602,0.50035442,173.0,0.0,0,116.0,
314,17,,2,1.0,200,128,300,0.02,0.005,199.0,121.0,0.653589638,0.422217463,155.0,0.0,0,183.0,
315,17,,2,1.0,200,128,300,0.03,0.002,200.0,126.0,0.788441446,0.447385381,156.0,1.0,0.005,140.0,0.349913983
316,17,,2,1.0,200,128,300,0.03,0.005,199.0,115.0,0.620412863,0.402722002,147.0,0.0,0,187.0,
317,17,,2,1.0,200,128,300,0.05,0.002,198.0,66.0,0.672751763,0.338573111,96.0,0.0,0,187.0,
318,17,,2,1.0,200,128,300,0.05,0.005,200.0,72.0,0.575327651,0.352888346,122.0,0.0,0,198.0,
319,17,,2,1.0,200,128,500,0.02,0.002,199.0,158.0,0.783786108,0.54711028,176.0,0.0,0,97.0,
320,17,,2,1.0,200,128,500,0.02,0.005,200.0,140.0,0.68811275,0.474050343,166.0,0.0,0,155.0,
321,17,,2,1.0,200,128,500,0.03,0.002,200.0,140.0,0.821113645,0.495311291,157.0,0.0,0,123.0,
322,17,,2,1.0,200,128,500,0.03,0.005,200.0,134.0,0.701677161,0.44322139,158.0,0.0,0,168.0,
323,17,,2,1.0,200,128,500,0.05,0.002,197.0,98.0,0.696872255,0.403680172,125.0,1.0,0.005,169.0,0.365658409
324,17,,2,1.0,200,128,500,0.05,0.005,196.0,100.0,0.605764579,0.390633202,143.0,0.0,0,187.0,
325,17,,2,2.0,200,64,300,0.02,0.002,200.0,129.0,0.743632416,0.450272278,160.0,0.0,0,140.0,
326,17,,2,2.0,200,64,300,0.02,0.005,200.0,104.0,0.598073375,0.390708121,142.0,0.0,0,189.0,
327,17,,2,2.0,200,64,300,0.03,0.002,200.0,148.0,0.704109515,0.46110702,170.0,1.0,0.005,150.0,0.272538586
328,17,,2,2.0,200,64,300,0.03,0.005,197.0,88.0,0.604794788,0.374756961,139.0,0.0,0,194.0,
329,17,,2,2.0,200,64,300,0.05,0.002,200.0,118.0,0.764539665,0.412079625,154.0,0.0,0,169.0,
330,17,,2,2.0,200,64,300,0.05,0.005,199.0,65.0,0.53355511,0.349343118,136.0,0.0,0,200.0,
331,17,,2,2.0,200,64,500,0.02,0.002,200.0,159.0,0.772667561,0.517254382,170.0,0.0,0,116.0,
332,17,,2,2.0,200,64,500,0.02,0.005,200.0,131.0,0.760967117,0.451970818,159.0,0.0,0,176.0,
333,17,,2,2.0,200,64,500,0.03,0.002,200.0,152.0,0.764728057,0.514347096,175.0,0.0,0,126.0,
334,17,,2,2.0,200,64,500,0.03,0.005,200.0,120.0,0.678250092,0.426769358,157.0,0.0,0,181.0,
335,17,,2,2.0,200,64,500,0.05,0.002,200.0,140.0,0.705016174,0.46752325,165.0,0.0,0,153.0,
336,17,,2,2.0,200,64,500,0.05,0.005,199.0,96.0,0.582483023,0.393511125,152.0,0.0,0,195.0,
337,17,,2,2.0,200,128,300,0.02,0.002,200.0,135.0,0.779826087,0.466415262,154.0,1.0,0.005,134.0,0.252809993
338,17,,2,2.0,200,128,300,0.02,0.005,200.0,119.0,0.631695123,0.421942339,153.0,0.0,0,182.0,
339,17,,2,2.0,200,128,300,0.03,0.002,200.0,121.0,0.716605604,0.429816144,145.0,0.0,0,145.0,
340,17,,2,2.0,200,128,300,0.03,0.005,199.0,108.0,0.629123297,0.394478075,137.0,0.0,0,193.0,
341,17,,2,2.0,200,128,300,0.05,0.002,196.0,60.0,0.668225931,0.31649077,85.0,0.0,0,181.0,
342,17,,2,2.0,200,128,300,0.05,0.005,199.0,59.0,0.555474065,0.321063749,107.0,0.0,0,199.0,
343,17,,2,2.0,200,128,500,0.02,0.002,200.0,147.0,0.775817823,0.510394348,167.0,0.0,0,109.0,
344,17,,2,2.0,200,128,500,0.02,0.005,199.0,131.0,0.749402569,0.465597046,157.0,0.0,0,169.0,
345,17,,2,2.0,200,128,500,0.03,0.002,199.0,130.0,0.757587083,0.461305326,146.0,0.0,0,147.0,
346,17,,2,2.0,200,128,500,0.03,0.005,199.0,122.0,0.681158934,0.42515802,153.0,1.0,0.005,171.0,0.366842978
347,17,,2,2.0,200,128,500,0.05,0.002,199.0,83.0,0.688664936,0.382471877,112.0,0.0,0,168.0,
348,17,,2,2.0,200,128,500,0.05,0.005,199.0,70.0,0.651277137,0.359604774,119.0,0.0,0,199.0,
349,17,,2,3.0,200,64,300,0.02,0.002,200.0,129.0,0.712911478,0.441783396,142.0,1.0,0.005,154.0,0.243303987
350,17,,2,3.0,200,64,300,0.02,0.005,199.0,102.0,0.608018861,0.382511417,143.0,0.0,0,195.0,
351,17,,2,3.0,200,64,300,0.03,0.002,200.0,131.0,0.713401058,0.433688917,156.0,2.0,0.01,156.0,0.317718861
352,17,,2,3.0,200,64,300,0.03,0.005,200.0,96.0,0.587556197,0.36881726,146.0,0.0,0,198.0,
353,17,,2,3.0,200,64,300,0.05,0.002,200.0,127.0,0.661454621,0.427163477,152.0,0.0,0,175.0,
354,17,,2,3.0,200,64,300,0.05,0.005,199.0,95.0,0.540898814,0.380559637,139.0,0.0,0,198.0,
355,17,,2,3.0,200,64,500,0.02,0.002,200.0,143.0,0.800628946,0.479325684,167.0,1.0,0.005,132.0,0.358135733
356,17,,2,3.0,200,64,500,0.02,0.005,200.0,131.0,0.672106742,0.441865168,152.0,0.0,0,176.0,
357,17,,2,3.0,200,64,500,0.03,0.002,200.0,149.0,0.804660539,0.487852765,164.0,0.0,0,143.0,
358,17,,2,3.0,200,64,500,0.03,0.005,199.0,131.0,0.652962202,0.434085118,155.0,0.0,0,186.0,
359,17,,2,3.0,200,64,500,0.05,0.002,199.0,129.0,0.714996446,0.448314279,158.0,0.0,0,157.0,
360,17,,2,3.0,200,64,500,0.05,0.005,200.0,93.0,0.560112476,0.375078533,142.0,0.0,0,198.0,
361,17,,2,3.0,200,128,300,0.02,0.002,200.0,132.0,0.731748133,0.464090951,158.0,0.0,0,146.0,
362,17,,2,3.0,200,128,300,0.02,0.005,200.0,116.0,0.6404188,0.411434507,147.0,2.0,0.01,187.0,0.396562509
363,17,,2,3.0,200,128,300,0.03,0.002,199.0,106.0,0.698300579,0.400321252,121.0,0.0,0,165.0,
364,17,,2,3.0,200,128,300,0.03,0.005,198.0,109.0,0.630826218,0.39995737,141.0,0.0,0,193.0,
365,17,,2,3.0,200,128,300,0.05,0.002,199.0,65.0,0.615289964,0.344089703,90.0,0.0,0,181.0,
366,17,,2,3.0,200,128,300,0.05,0.005,199.0,77.0,0.601318315,0.345730263,122.0,0.0,0,197.0,
367,17,,2,3.0,200,128,500,0.02,0.002,200.0,134.0,0.7839657,0.481195737,152.0,0.0,0,118.0,
368,17,,2,3.0,200,128,500,0.02,0.005,200.0,129.0,0.76484799,0.441998122,143.0,1.0,0.005,166.0,0.410417899
369,17,,2,3.0,200,128,500,0.03,0.002,198.0,129.0,0.738086614,0.46273715,151.0,0.0,0,148.0,
