,Model71,Model77,Model89,Model104,Model116
820,3.356034894430593e-11,4.4820797484135255e-05,1.2528848003512394e-07,2.0668005618063034e-07,4.151512023042869e-09
830,2.6313878674450514e-20,1.440956144484781e-15,9.107783644634385e-30,8.522494755579861e-35,7.831059858059397e-30
833,1.5047141141704031e-24,5.374091523722289e-18,4.687194032969126e-15,0.000364168721716851,2.1815571918382126e-11
939,1.7083019944333582e-37,4.400467959312683e-14,2.2714653075128766e-11,1.3545028321020498e-26,1.219937922737996e-21
961,4.4558009475032436e-20,4.397546945256181e-05,0.0010418930323794484,0.009133858606219292,1.2510156799372396e-10
965,0.029458744451403618,0.008093631826341152,0.1375996172428131,0.1130501851439476,0.0016599360387772322
973,3.6643974287265566e-23,2.774438996239809e-19,8.949778342525998e-35,0.0,6.184897940953465e-20
981,1.6487010495034814e-24,3.5755537197701415e-08,1.8595908562169944e-17,1.067435550794471e-05,0.0021000297274440527
985,0.0839582309126854,0.0023630261421203613,0.00785219669342041,0.27189716696739197,0.1485731601715088
993,4.484155085839415e-44,2.895362886987937e-40,4.661021731338505e-14,0.0,1.3425180219224429e-17
999,1.9604284862140275e-10,0.0010696703102439642,0.0002336363249924034,5.47638251191529e-07,0.00046854536049067974
1003,7.05973934600479e-06,0.014057274907827377,0.0014810370048508048,0.6100839376449585,0.16170452535152435
1035,5.447868147712143e-07,0.001751678646542132,0.6899576187133789,0.005429790820926428,0.1674266755580902
1038,6.804259555792669e-06,6.185241894405561e-23,0.1912238448858261,1.3263955023448713e-26,0.0008318760665133595
1056,2.2104735751258114e-27,1.3893345663642422e-34,1.5290548453173106e-40,0.0,3.0506816985941313e-28
1091,9.824187451777194e-22,0.017061367630958557,0.004188132472336292,1.1903619583086833e-11,4.0282256696944074e-11
1104,4.993690101770124e-34,6.474751454023781e-34,3.647692634296357e-36,4.625646630598731e-30,2.122542853999283e-34
1108,5.640086189060956e-41,4.894526429161888e-19,1.2308794128533707e-31,9.80908925027372e-45,1.9619616013048237e-33
1116,1.585131224049946e-29,5.906531027706703e-29,9.985159133337761e-26,0.0,1.7645680042469546e-14
1123,9.624072117730975e-05,3.603931645557168e-06,9.490706033534747e-22,6.274976244959507e-17,0.0004357055004220456
1127,8.861545938998461e-05,4.205210643704049e-05,0.022257963195443153,8.099290682572757e-10,0.004332863260060549
1141,0.18402738869190216,0.3639700710773468,0.15287083387374878,0.4806361794471741,0.7166573405265808
1174,1.0181020523164497e-12,0.0033456392120569944,1.521217836852884e-05,7.708921225256962e-36,2.2874977194560497e-13
1180,2.790849742604978e-19,1.2378089005171677e-11,8.69955329108052e-06,0.4074678122997284,2.8399343136698008e-05
1182,5.379384160342227e-10,8.067443673098751e-07,1.3572388525062706e-05,0.04512179270386696,0.0041812630370259285
1183,1.3263608267255478e-10,2.0125618632047933e-17,6.58912746587248e-09,0.0006047846400178969,2.704621194973139e-13
1219,7.199422296046624e-19,2.752398586824967e-10,2.880189975407177e-10,1.068823415190101e-12,5.824445975721299e-19
1221,6.524368822979909e-10,0.0003744979330804199,9.800562850159622e-08,0.03450366482138634,2.115194365615025e-05
1388,0.0,9.753340203916443e-17,6.734240110052248e-35,0.0,2.7482868040677972e-39
1389,1.2149105332870391e-10,8.928830591559134e-11,5.99047715128506e-18,0.0034476632717996836,3.432644734857604e-05
1411,0.6524267196655273,0.9863729476928711,0.9998793601989746,0.3626294732093811,0.037995316088199615
1439,0.0,2.0155490113778138e-26,0.010674881748855114,1.6220885172349962e-31,1.8466182653883865e-18
1440,0.6373285055160522,4.578043673320042e-13,0.9717792272567749,0.600733757019043,0.03995322808623314
1468,9.480392859639863e-11,1.6157546492163305e-13,2.7336058416871367e-10,0.6181007027626038,2.661623363115623e-13
1470,0.9980430603027344,1.0,0.6384170055389404,0.9999978542327881,0.9999997615814209
1478,0.997501790523529,0.9999971389770508,0.9638911485671997,0.9999923706054688,0.9648377299308777
1480,1.138906078962486e-33,4.767402347030319e-38,8.407790785948902e-45,0.0,1.7601367165144914e-30
1484,0.001355692744255066,1.0063442936373182e-16,1.8914045085693942e-07,7.89990737648766e-18,4.589051361136853e-09
1530,6.306154363077635e-15,0.0003412254445720464,6.64771918068574e-11,1.378196276720367e-12,8.144804830578778e-10
1541,1.484622225689236e-05,1.3416851288639009e-05,0.03494909405708313,0.010277542285621166,0.0035720481537282467
1545,2.2521936315911262e-08,0.0008827754063531756,0.000605134991928935,0.0008084421860985458,0.0012688972055912018
1548,1.4695784519846988e-11,8.452078446852251e-12,1.415506123830131e-25,1.0247157856953089e-20,2.172006816181238e-06
1554,1.593616494865612e-25,8.139486079369844e-27,5.726865162647421e-12,6.080520724045132e-18,1.9804761942823074e-13
1556,4.883670291083719e-12,3.7205566059128614e-06,2.3454813646850425e-09,0.30256280303001404,0.040571000427007675
2380,6.106017928448958e-40,0.0002590658550616354,1.3653104377621373e-16,1.8229808999539717e-27,1.1564230684157906e-09
2406,0.9993721842765808,0.9999988079071045,0.9974613189697266,0.9973130822181702,0.9783766269683838
2407,0.7259288430213928,0.6896963119506836,0.4188043475151062,0.6432677507400513,0.8413859009742737
2409,0.8935946226119995,0.7230014801025391,0.8760000467300415,1.0,0.955586314201355
2439,0.26025593280792236,7.138170303733204e-07,7.415943414912363e-10,0.4163609445095062,0.5401751399040222
2445,0.9999997615814209,1.0,0.9999961853027344,0.9999991655349731,0.999998927116394
2447,0.9951716065406799,0.7498630881309509,0.8834923505783081,0.9356437921524048,0.9429506659507751
2449,0.6617717146873474,0.999813973903656,0.25102847814559937,0.9999997615814209,0.869895875453949
2532,0.9960036873817444,1.0,0.9996776580810547,0.9999998807907104,0.9999988079071045
2564,0.8927053809165955,0.9986327290534973,0.9679187536239624,1.0,0.9833498001098633
2570,0.9968589544296265,2.7884545800854754e-12,3.420445037163769e-15,0.2328418344259262,0.9999803304672241
2572,0.9893683791160583,0.9741108417510986,0.9609394073486328,0.9939490556716919,0.9999755620956421
2586,4.707768124444754e-14,0.005091135390102863,0.895660936832428,0.4097350239753723,1.636134402360767e-05
2592,0.4061366021633148,0.9983446598052979,0.9937834739685059,1.0,0.7116481065750122
2602,0.9995734095573425,0.9999024868011475,0.997595489025116,0.9999991655349731,0.7264740467071533
2666,0.9999997615814209,1.0,0.9997169375419617,0.9969841837882996,0.987686812877655
2670,0.9976580142974854,1.0,0.9980812072753906,1.0,0.928311288356781
2674,1.0,1.0,1.0,1.0,0.9999780654907227
2678,0.9224110245704651,0.9989769458770752,0.9638911485671997,1.0,0.9918129444122314
2684,0.940326452255249,0.6224351525306702,0.9999216794967651,0.7211068272590637,0.011408445425331593
2686,0.9604431986808777,0.9999737739562988,0.980487048625946,0.9999985694885254,0.9851853847503662
2701,0.9999985694885254,1.0,0.5266108512878418,0.9997761845588684,0.9999943971633911
2706,1.25503047861419e-18,2.131525014348215e-19,0.9792889952659607,0.9869453310966492,1.1362587086505282e-11
2715,0.9999994039535522,0.9998511075973511,0.9896919131278992,0.9354358315467834,0.9973686933517456
2718,0.9999998807907104,1.0,0.8258823752403259,1.0,0.9352179169654846
2721,0.8846270442008972,0.8180118203163147,0.549275279045105,0.429537832736969,0.00015873985830694437
2730,0.9999841451644897,0.9930372834205627,0.9286625385284424,1.0,0.962341845035553
2732,0.5896554589271545,0.18158654868602753,0.00109756994061172,0.13611267507076263,0.16211152076721191
2762,4.958740653984836e-20,4.424225286518432e-22,3.6371263831824763e-06,1.3583546731865681e-08,2.1144442516868778e-20
2774,0.9813915491104126,0.35500675439834595,0.8808540105819702,0.42666658759117126,0.9710980653762817
2779,0.6899843215942383,0.45631203055381775,0.9890105128288269,0.46715083718299866,0.9797021746635437
2782,1.0,0.999995231628418,0.8694686889648438,1.0,1.0
2786,0.9461673498153687,0.9865152835845947,0.1975731998682022,0.4877985715866089,0.8183363676071167
2790,1.346069031713303e-21,0.8868519067764282,9.265987283013644e-12,0.08029430359601974,1.3144428254174834e-11
2791,0.7473684549331665,0.998354971408844,2.8149716513325984e-07,0.9977007508277893,0.9975413084030151
2792,0.995850682258606,0.9669391512870789,0.9638911485671997,1.0,0.91593337059021
2793,0.5761203169822693,0.9376012682914734,6.58322858100341e-15,0.9938136339187622,0.9897080659866333
3943,1.2921834555059547e-13,3.009759455552263e-11,0.043437208980321884,5.190355750528397e-06,5.583904866268696e-12
3944,0.0002752043365035206,0.002675799187272787,0.0911269411444664,0.00013596033386420459,0.17536433041095734
3945,6.47863998892717e-05,1.0,2.0623498568628218e-12,1.0,5.237018457782128e-11
3966,3.145483526423298e-11,1.0329534265701018e-13,3.8276232317002723e-07,0.02347853034734726,5.619426701741759e-06
3967,9.137474870374029e-21,1.494845136562617e-09,0.010106569156050682,1.0567930211480281e-11,1.26430721157666e-14
3974,1.1577712530005946e-13,6.1305009679824e-11,1.846920706649602e-11,4.2483856710351375e-11,5.5987719349559484e-08
3988,0.6617717146873474,0.3494829535484314,0.9647623896598816,0.45133066177368164,0.8584054112434387
3989,0.011409025639295578,0.3113848865032196,0.2808656692504883,1.0,0.11765643954277039
3993,0.0015630725538358092,6.5518570326118834e-24,0.5414400696754456,1.0625365604727266e-12,0.0049761575646698475
4016,0.003454761113971472,8.086245543381665e-06,0.015412377193570137,0.32541003823280334,6.969537480472354e-07
4020,0.998854398727417,0.9989952445030212,0.9955825209617615,0.9446492195129395,0.37644848227500916
4033,0.04972901567816734,0.05630836635828018,0.33930328488349915,0.3729432225227356,0.9025163650512695
4039,6.762545581295853e-07,0.020726921036839485,3.0816146079359896e-08,0.42514270544052124,2.0072748156962916e-06
4045,0.9945300221443176,0.9999490976333618,0.9995207786560059,1.0,0.5290647149085999
4047,1.266460758963736e-13,0.010874110274016857,1.519264575255974e-11,0.1117485910654068,0.0010676545789465308
4053,4.69885641507517e-08,0.035654909908771515,0.00020749853865709156,0.3434077203273773,0.0013895537704229355
4067,0.00040675184573046863,0.0001356410066364333,6.195301693878719e-07,0.0013425633078441024,7.56751248331966e-08
4077,0.22495368123054504,2.1135608818667606e-09,0.6835285425186157,0.48047271370887756,0.18479955196380615
4079,0.03422008454799652,0.007149846758693457,0.011020082049071789,0.0004969663568772376,0.0709492564201355
4083,7.560230219638697e-11,2.3801095494491165e-07,7.413298863667706e-10,0.00015003254520706832,5.198902974790087e-10
4091,0.6617717146873474,1.131626504502492e-06,0.5385445356369019,3.136187297059223e-05,0.5290647149085999
4110,2.3047468857839704e-06,0.015515872277319431,3.2672595740024235e-09,2.9181596801208798e-06,0.0027995980344712734
4111,1.0396521019301677e-13,7.822852744277312e-14,0.00014011329039931297,1.759156475600321e-05,0.0004859908076468855
4121,7.292773807421327e-05,7.150964847824071e-06,0.7420156598091125,0.011814812198281288,6.595477497484126e-09
4133,5.01302451993979e-07,4.505297912515971e-09,4.760982847074047e-06,0.29618775844573975,3.8570044935681835e-09
4137,1.8441629334731147e-09,0.00016098329797387123,2.209791292944334e-19,2.995779965353446e-18,0.0007891072891652584
4143,0.013813910074532032,0.008142173290252686,0.9638911485671997,0.31620046496391296,0.030320407822728157
4147,7.758101344505774e-13,1.781167647727476e-14,0.0034607748966664076,5.0042785005643964e-05,2.481934480158543e-08
4161,3.0948551013598724e-16,3.179322582112787e-14,5.113152123925602e-09,0.00018016999820247293,3.495079004389948e-19
4165,0.010219602845609188,0.011170990765094757,0.5135462880134583,0.25874727964401245,0.45891037583351135
4171,7.886179487215372e-10,0.0041417614556849,6.1095888714174175e-24,3.2715126163651576e-09,1.1672084739705602e-12
4172,0.9999996423721313,1.0,0.44772326946258545,1.0,0.09772104769945145
4178,2.849942978551227e-14,1.2316434094827855e-07,0.004598331172019243,3.444003979571897e-12,6.280523666646332e-05
4181,5.543616339309665e-07,0.004213795065879822,2.8084123186999932e-05,0.0007813017000444233,0.18880541622638702
4196,0.04826989024877548,1.4614574741361741e-12,0.8996506333351135,0.4927765429019928,0.041593924164772034
4228,0.25511980056762695,1.3503466789188678e-08,0.036946047097444534,0.022303055971860886,0.4682843089103699
4248,2.310129304930523e-22,3.5125329676792144e-20,4.125603004533281e-25,5.324934164434305e-44,1.575230640371572e-10
4250,3.380676543828648e-13,5.280105028759863e-07,8.080026958623421e-08,4.34772991866339e-05,0.0006042657769285142
4252,0.05278130620718002,0.03187898173928261,0.566643238067627,0.4424372613430023,0.4456092417240143
4662,0.5370391011238098,0.01901724375784397,0.5347456336021423,0.3882486820220947,0.3902595341205597
4702,0.20464587211608887,0.026231221854686737,0.05542001128196716,0.21133816242218018,0.20869246125221252
4706,0.08264509588479996,7.86761156632565e-05,5.68698305869475e-05,0.006339306011795998,0.000867762602865696
4708,4.559883856134569e-20,7.54061797812039e-14,0.01872578077018261,8.090924224877591e-17,4.818946308660088e-08
4714,2.48483702307567e-05,1.939460344146937e-05,0.0007417182205244899,0.3500989079475403,0.0026375793386250734
4716,0.014365063048899174,0.00014761702914256603,0.5176933407783508,0.47920548915863037,0.5341914296150208
4718,9.04476392396482e-16,1.0619260331533289e-17,4.556641268325294e-16,5.681896480786255e-16,4.2734625523978533e-20
4720,3.091439864516543e-12,2.3201350904346016e-22,5.295485294709579e-08,0.012598643079400063,2.3787119192777983e-13
4721,4.0401303179685155e-14,4.790884133853979e-08,4.2237127684252584e-10,0.0002895341021940112,3.8180454707066835e-19
4723,0.011416816152632236,0.0006979582831263542,0.14748728275299072,0.3229934275150299,0.03304813802242279
4745,0.0001367014629067853,8.556917415576074e-15,1.195425008981843e-10,0.00022447630180977285,5.514861550182104e-05
4757,0.1708027422428131,2.581478954211125e-11,3.4198885259684175e-05,0.8886491656303406,0.0018823993159458041
4762,1.4838170968768124e-17,2.649506522923832e-14,1.423124449230831e-13,1.9130391137878178e-07,7.167094140392294e-10
4786,0.004930180497467518,0.0004953366587869823,0.0009712807950563729,0.015534114092588425,1.3446077140599755e-08
4787,3.389854086321975e-08,4.4488469796988284e-08,0.011157342232763767,1.6906922528647783e-09,1.8525832274463028e-05
4801,2.654615971486862e-10,3.0095325201435967e-28,1.1916674924349237e-16,1.0,7.420226932897123e-11
4812,2.803299313600821e-13,0.0011352207511663437,1.2057939369203297e-10,0.00035430272691883147,6.695620724528339e-10
4814,2.8495378501247615e-05,0.0048437220975756645,0.07415899634361267,0.34058284759521484,4.297423583921045e-05
4822,3.7479100001291954e-07,0.0025981240905821323,0.11493197083473206,4.7810303840378765e-06,0.0012335681822150946
4824,0.056280724704265594,0.029736781492829323,0.5527380704879761,0.3232618272304535,0.08123074471950531
4837,0.43994706869125366,0.43872225284576416,0.462971955537796,0.5037533044815063,0.22495250403881073
4839,0.004160566255450249,0.043514564633369446,0.24691051244735718,0.21437112987041473,0.005910363048315048
4843,1.8234610266176787e-08,5.310810138325905e-07,0.476600706577301,0.4563794732093811,0.001824888284318149
4863,0.0292037520557642,0.0045724487863481045,2.0809945908695227e-06,0.0019486453384160995,2.1805195427049284e-09
4865,0.4112567901611328,0.125624880194664,3.854592645069488e-09,0.42501235008239746,0.01298330444842577
4869,6.851298621768365e-06,5.732983969156457e-20,2.038755984867357e-18,0.003102867864072323,9.869215773505857e-07
4873,0.2744702696800232,0.17120881378650665,0.5242619514465332,0.5274297595024109,1.4163766763886088e-06
4874,0.22696223855018616,2.16096327676496e-06,1.0579687170775287e-07,0.046121131628751755,0.2979128360748291
4906,1.0,1.0,1.0,1.0,0.8006986975669861
4912,0.9995712637901306,1.0,1.0,1.0,1.0
4916,2.234657348054725e-09,4.6700890379725024e-05,9.941694026517254e-23,5.499699682331993e-07,3.234596184648053e-12
4917,1.0,1.0,1.0,1.0,0.9998959302902222
4918,0.9999271631240845,0.9999994039535522,1.0,0.9994779229164124,0.5582705736160278
4920,0.2735469937324524,0.9939435124397278,0.42176979780197144,0.9934356212615967,0.9985775947570801
4923,0.00032188917975872755,0.008386186324059963,0.9638911485671997,0.7034891843795776,0.0019445894286036491
4930,2.965453620509817e-12,1.6925530936648045e-14,4.873386139081504e-09,1.6445881101390114e-06,0.0002346686233067885
4931,0.06141982972621918,0.25401875376701355,0.7063342332839966,0.9932437539100647,0.9738916754722595
4932,0.9966552257537842,0.4201147258281708,0.9999945163726807,0.5306941270828247,0.9973853230476379
4933,0.9937094449996948,0.9982328414916992,0.9134647250175476,0.9998109936714172,0.9475507736206055
4934,0.540634274482727,0.046437885612249374,0.7120224833488464,0.4352073669433594,0.12707118690013885
4943,8.614297121488975e-15,0.019011206924915314,0.0005251471302472055,5.296290517264879e-09,0.003202614141628146
4944,0.11135810613632202,0.0004328806244302541,6.596527964575216e-05,0.0161781944334507,0.0009105470380745828
4946,0.001772443880327046,0.14884869754314423,0.00012922145833726972,0.37052682042121887,0.478206992149353
5428,1.366380193160601e-21,1.5272441788387415e-24,7.377111046480422e-07,4.533491637648268e-10,1.5738454806069058e-07
5443,1.1751804777304642e-05,1.2757056744305828e-08,0.000648511340841651,3.226832490099696e-08,0.0018421584973111749
5444,6.736220530001447e-05,0.003458790248259902,0.22545331716537476,0.2525825500488281,0.013304890133440495
5451,4.7570368010388227e-35,7.315493828624903e-29,0.00023941621475387365,0.09747994691133499,2.176910863595351e-18
5468,0.23874466121196747,0.024467460811138153,0.0006429909262806177,0.29315289855003357,0.00013237062375992537
5475,0.006534724961966276,0.03604336455464363,0.49663031101226807,8.6521012576668e-08,0.004452964756637812
5476,1.9419274394749664e-05,1.2137192584305012e-07,1.7290269594742167e-28,1.1921909323265472e-15,3.552939331630256e-10
5479,4.262674593235722e-32,3.7081597083247457e-22,8.317271258012544e-33,7.315393136192585e-26,5.798168884038266e-14
5483,8.006295502127614e-07,3.778985568914095e-09,1.3494668638913688e-22,1.3497336928680603e-12,7.228121745583849e-08
5497,0.19221335649490356,0.05435648187994957,0.3879520893096924,0.32192671298980713,0.07871821522712708
5503,7.21544736945119e-20,3.6211072085427616e-18,0.78216552734375,0.4035585820674896,3.4801012072094295e-10
5506,1.0,1.0,1.0,1.0,1.0
5509,7.455881479703427e-14,9.106446846596228e-11,4.839407847612165e-05,7.5674784056900535e-06,0.00012853622320108116
5511,0.06445138156414032,0.0317615270614624,1.4945812836231198e-06,0.3731538951396942,2.8691187253571115e-05
5512,0.09704521298408508,1.1620301847869996e-05,0.06872031837701797,0.3409232497215271,0.23883017897605896
5515,0.1108904704451561,0.049625422805547714,0.3120199143886566,0.4846292734146118,0.9581667184829712
5522,0.25827744603157043,0.0011130303610116243,0.004210011102259159,0.0027171398978680372,5.434126433101483e-05
5538,7.504533482316232e-29,9.924370052601377e-17,3.644984035418046e-19,1.3676929586810847e-23,1.272425698145526e-22
5592,0.878017783164978,0.9999771118164062,0.9999997615814209,1.0,0.9895603656768799
5595,1.0,1.0,0.9950729012489319,1.0,0.9962134957313538
5622,0.0035595581866800785,0.08617886900901794,0.5662243366241455,0.08856067061424255,0.9078029990196228
5634,9.090355204688372e-12,2.0456019690640037e-12,0.3383118212223053,0.49695107340812683,0.0004126340209040791
5639,0.9999983310699463,0.9076089859008789,0.9993988275527954,1.0,1.0
5644,0.0018629992846399546,6.540394018981642e-17,0.4936576783657074,0.02997497096657753,0.0015015210956335068
5652,0.9978457689285278,0.9999970197677612,0.9993932247161865,0.9999998807907104,0.9915423393249512
5655,2.883809510634272e-12,0.0006460813456214964,8.422762789450644e-07,1.574454927322222e-06,1.1138661104581615e-09
5660,0.09487627446651459,0.06921284645795822,1.4548434137395816e-06,0.001977856969460845,8.122060535242781e-06
5672,0.4392615258693695,0.003924038726836443,9.805012979313688e-08,0.2851070761680603,0.0003377407556399703
5678,6.212949444982728e-18,2.8553925446317407e-08,1.0407362532806764e-15,0.004833241458982229,0.013147873803973198
5693,2.527081397210908e-26,1.891359779712435e-20,6.433811816641821e-10,0.000876994279678911,1.2159604344198684e-14
5697,0.09304496645927429,1.0,0.9831374883651733,0.9999998807907104,0.9177092909812927
5727,0.7070500254631042,0.7881391644477844,0.3954637050628662,0.4160224199295044,0.9987039566040039
5737,3.026902504643658e-06,2.8534264856716618e-05,0.4771205484867096,3.7123831475582847e-07,6.25905959168449e-05
5741,0.6617717146873474,1.0,0.9987533092498779,0.9999998807907104,0.905339241027832
5743,0.2433604747056961,0.9999982118606567,0.9995490908622742,0.14527341723442078,0.5290647149085999
5744,0.863501250743866,0.9999997615814209,0.9999371767044067,1.0,0.9978690147399902
5746,0.9999275207519531,1.0,1.0,1.0,0.9362765550613403
5823,3.094888597843237e-05,0.0912717804312706,0.009653463028371334,0.8737114667892456,0.11633563786745071
5832,0.9984130859375,1.0,0.8920248746871948,0.9789519309997559,0.9862483143806458
5834,0.9052144885063171,1.0,1.0,0.9972065091133118,0.9999642372131348
5842,0.8868820667266846,0.9594759345054626,0.7268818616867065,0.9999693632125854,0.5425674319267273
5843,0.9999990463256836,1.0,0.5186423659324646,0.9999998807907104,0.9639897346496582
5848,0.9997877478599548,0.9999103546142578,0.999659538269043,1.0,0.9999992847442627
