nnodes,nepoch,lrate,l2,rho0,rho4,rhomax,rhopmean,membership,desired
128,300,0.05,0.0,100.0,2.0,0.49934001539598216,0.21829993327681899,2.0,0.0
128,300,0.05,0.001,100.0,22.0,0.6829262415639077,0.3024684391087561,30.0,0.0
128,300,0.05,0.01,100.0,24.0,0.49881488786709305,0.35310637343974505,55.0,2.0
128,300,0.05,0.05,100.0,0.0,0.3866888234043374,0.26333069130068887,0.0,0.0
128,300,0.05,0.1,100.0,0.0,0.3866990865638473,0.26859404098274575,0.0,0.0
128,300,0.1,0.0,100.0,0.0,0.3881213977555039,0.17153624745794974,0.0,0.0
128,300,0.1,0.001,100.0,0.0,0.39465042112851156,0.21366081291052322,2.0,0.0
128,300,0.1,0.01,99.0,1.0,0.43456165256341306,0.24309461688718104,5.0,0.0
128,300,0.1,0.05,100.0,0.0,0.386713948943627,0.25615366134821344,0.0,0.0
128,300,0.1,0.1,100.0,0.0,0.38683797648739904,0.25703083203470467,0.0,0.0
128,300,0.2,0.0,100.0,0.0,0.3881213998310542,0.19307055598880016,0.0,0.0
128,300,0.2,0.001,100.0,0.0,0.38812139911000587,0.20734849417224363,0.0,0.0
128,300,0.2,0.01,99.0,0.0,0.38899538870744765,0.2190963961794306,0.0,0.0
128,300,0.2,0.05,100.0,0.0,0.391038462175646,0.23109479529668187,0.0,0.0
128,300,0.2,0.1,100.0,0.0,0.387119734704211,0.22066678438039328,0.0,0.0
128,500,0.001,0.0,88.0,44.0,0.6590109378451587,0.3595891574584514,78.0,1.0
128,500,0.001,0.001,79.0,25.0,0.6957501142854874,0.29883476149344934,59.0,1.0
128,500,0.001,0.01,76.0,15.0,0.6271996072773164,0.2531594922466886,42.0,0.0
128,500,0.001,0.05,59.0,0.0,0.316351012600257,0.15897832114128652,0.0,0.0
128,500,0.001,0.1,59.0,0.0,0.3058520785177795,0.13665268824750418,0.0,0.0
128,500,0.002,0.0,94.0,36.0,0.7741325260252966,0.33379919532673197,56.0,0.0
128,500,0.002,0.001,94.0,41.0,0.6894430843249343,0.34928610184567993,57.0,0.0
128,500,0.002,0.01,93.0,25.0,0.6960928053944049,0.3095762263357267,34.0,0.0
128,500,0.002,0.05,95.0,0.0,0.3800007800117804,0.20378641967479455,0.0,0.0
128,500,0.002,0.1,87.0,0.0,0.3732112463408064,0.1759855705802243,0.0,0.0
